conversion,conversionAjustada2punto2Kg,mortalidadPor,noDePollosMuertos,pesoFinalPolloG,gananciaPesoDiaG,AD3Engrode,AD3Inicio,AD3Preinicio,consumoAjustadoA2punto2Kg,consumoDiaPolloG,consumoTotalPolloG,duracionEngordeDias,ea,edadAjustadaA2punto2Kg,edadEnDias,feep,ip,n,noPollitos,empresa,granja,municipio
1.62,1.59,0.04,3801,2329.89,57.53,0,1,0,3495.59,93.22,4056.26,40.5,143.79,38.99,,341.26,88.74,,97920, Operadora  Avicola , Comba  2 , Antioquia  Sur 
1.63,1.6,0.05,983,2342.38,56.44,0,1,0,3507.64,91.93,3747.07,41.5,143.81,39.81,,329.84,88.29,,20400, Operadora  Avicola , Violeta  OPAV , Antioquia  Norte 
1.88,1.88,0.09,9991,2230.3,45.99,0,1,0,4126.4,86.67,4392.16,48.5,118.34,48.07,,222.03,62.79,,110976, Operadora  Avicola , El  Progreso ,Bucaramanga
1.77,1.76,0.08,12175,2216.54,50.03,0,1,0,3873.92,88.34,4461.74,44.3,125.54,44.09,,259.74,71.11,,145860, Operadora  Avicola , Balcones  Bmanga ,Bucaramanga
1.74,1.72,0.03,1778,2253.07,51.09,0,1,0,3789.38,88.74,4500.66,44.1,129.72,43.42,,284.29,74.69,,53040, Operadora  Avicola , El  Palmar ,Bucaramanga
1.74,1.7,0.06,15481,2372.48,57.72,0,1,0,3724.15,100.24,4451.34,41.1,136.63,39.09,,313.74,78.68,,275400, Operadora  Avicola ,Gramal,Pereira
1.65,1.58,0.04,1433,2501.82,59.85,0,1,0,3472.73,98.52,4511.26,41.8,151.99,38.35,,349.01,92.33,,35700, Operadora  Avicola ,Salsipuedes, Antioquia  Sur 
1.62,1.59,0.07,5615,2337.78,58.3,0,1,0,3483.45,94.24,4148.73,40.1,144.62,38.52,,335.19,89.46,,79560, Operadora  Avicola ,Riochico, Antioquia  Norte 
1.67,1.66,0.08,4642,2265.23,55.25,0,1,0,3640.91,92.37,3990.55,41,135.49,40.22,,303.12,81.04,,56100, Operadora  Avicola ,Rescate, Antioquia  Norte 
1.63,1.56,0.04,2788,2526.89,61.18,0,1,0,3435.96,99.94,4062.94,41.3,154.69,37.63,,360.16,94.7,,72522, Operadora  Avicola , La  Estancia ,Pereira
1.76,1.77,0.05,6534,2159.39,49.3,0,1,0,3901.93,86.86,4343.56,43.8,122.57,44.34,,267.04,69.57,,142800, Operadora  Avicola , La  Mariana ,Bucaramanga
1.65,1.61,0.03,476,2422.78,58.1,0,1,0,3522.52,96.06,4460.96,41.7,146.53,39.1,,342.29,88.63,,18360, Operadora  Avicola , Villa  Luz  Ant , Antioquia  Sur 
1.93,1.94,0.12,4341,2177.49,49.71,0,1,0,4267.2,96.07,4408.14,43.8,112.68,44.1,,225.97,58.31,,35700, Operadora  Avicola , Porvenir  Bmanga ,Bucaramanga
1.62,1.58,0.1,8726,2403.72,58.06,0,1,0,3468.67,94.3,4124.43,41.4,148,39.03,,321.52,91.13,,86700, Operadora  Avicola , Porvenir  Ant , Antioquia  Sur 
1.65,1.61,0.03,2231,2388.63,57.7,0,1,0,3537.12,95.36,4067.67,41.4,144.52,39.2,,337.14,87.44,,65280, Operadora  Avicola ,Quintana, Antioquia  Norte 
1.65,1.58,0.1,5363,2495.97,59.86,0,1,0,3476.74,98.57,4017.2,41.7,151.56,38.32,,328.07,92.03,,55080, Operadora  Avicola ,Pinos, Antioquia  Sur 
1.61,1.57,0.04,3588,2414.23,58.74,0,1,0,3443.55,94.84,4187.25,41.1,149.53,38.63,,350.35,92.61,,96900, Operadora  Avicola ,Fogon, Antioquia  Sur 
1.82,1.82,0.09,11934,2180.69,48.25,0,1,0,4011.03,87.68,4507.7,45.2,119.99,45.47,,241.75,66.02,,133620, Operadora  Avicola ,Terranova,Bucaramanga
1.69,1.66,0.04,795,2344.09,53.89,0,1,0,3639.46,91.09,4408.9,43.5,138.67,41.71,,304.98,82.04,,18360, Operadora  Avicola , San  Pablo ,Bucaramanga
1.7,1.68,0.05,11506,2295.92,55.46,0,1,0,3683.38,94.23,4261.21,41.4,135.13,40.25,,310.79,79.53,,240618, Operadora  Avicola , Villa  Alicia ,Pereira
1.92,1.85,0.12,11159,2478.95,58.19,0,1,0,4059.57,111.67,4113.68,42.6,129.18,39.33,,267.53,67.32,,94758, Operadora  Avicola ,Potrerillo,Pereira
1.76,1.86,0.04,639,1815.46,45.39,0,1,0,4189.63,79.94,3536.36,40,103.08,45.2,,248.2,58.53,,17340, Operadora  Avicola , Esperanza  Bga ,Bucaramanga
1.88,1.91,0.13,13744,2097.02,48.88,0,1,0,4215.71,92.04,4548.4,42.9,111.38,44.27,,226.3,59.15,,107100, Operadora  Avicola ,Torcoroma,Bucaramanga
1.62,1.57,0.05,3150,2431.05,58.58,0,1,0,3440.53,94.7,4340.55,41.5,150.38,38.82,,344.31,93.02,,63240, Operadora  Avicola ,Olivares, Antioquia  Norte 
1.7,1.76,0.03,882,1964.86,47.92,0,1,0,3912.04,81.6,3768.16,41,115.4,44.1,,271.73,67.78,,25500, Operadora  Avicola ,Raviel,Bucaramanga
1.64,1.64,0.05,2650,2186.51,55.5,0,1,0,3608.88,90.84,4288,39.4,133.58,39.56,,321.43,81.61,,51000, Operadora  Avicola ,Suiza, Antioquia  Sur 
1.72,1.68,0.04,4892,2374.32,58.05,0,1,0,3681.11,99.67,4463.69,40.9,138.3,38.88,,323.13,80.55,,110262, Operadora  Avicola , Santa  Lucía ,Pereira
1.74,1.72,0.05,1405,2287.66,53.2,0,1,0,3785.68,92.79,4481.34,43,131.16,41.91,,289.46,75.2,,27540, Operadora  Avicola , Villa  Florida ,Bucaramanga
1.67,1.69,0.08,2309,2137.71,53.58,0,1,0,3721.28,89.69,4330.26,39.9,127.7,40.66,,295.9,76.29,,30600, Operadora  Avicola , Cascada  Ant , Antioquia  Norte 
1.69,1.68,0.07,1013,2281.09,55.64,0,1,0,3679.87,94.24,4570.9,41,134.68,40.04,,306.73,79.51,,15300, Operadora  Avicola , Villa  Rita , Antioquia  Sur 
1.68,1.65,0.07,12641,2359.21,57.4,0,1,0,3613.86,96.55,4279.3,41.1,140.26,39.24,,317.77,83.39,,183600, Operadora  Avicola ,Manantiales, Antioquia  Sur 
1.78,1.72,0.06,1063,2471.64,54.93,0,1,0,3768.07,97.74,4526.02,45,138.89,41.63,,290.78,78.05,,18360, Operadora  Avicola ,Despensa,Bucaramanga
1.72,1.67,0.09,2804,2432.69,56.97,0,1,0,3665.28,98.14,4519.2,42.7,141.22,39.93,,300.43,81.98,,30600, Operadora  Avicola ,Querencia, Antioquia  Norte 
1.73,1.73,0.04,5325,2211.13,46.95,0,1,0,3809.26,81.43,4194.42,47.1,127.47,46.95,,258.67,73.49,,120360, Operadora  Avicola , La  Herradura ,Bucaramanga
1.74,1.71,0.05,8886,2342.49,58.13,0,1,0,3751.28,101.25,4440.11,40.3,134.48,38.66,,315.91,77.2,,166770, Operadora  Avicola ,Panorama,Pereira
1.6,1.58,0.04,1523,2297.43,58.76,0,1,0,3470.85,94.09,4229.9,39.1,143.46,38,,351.08,89.59,,35292, Operadora  Avicola , Villa  Gilma ,Pereira
1.68,1.64,0.08,6964,2394.32,57.01,0,1,0,3595,95.84,4231.27,42,142.42,39.7,,313.14,84.72,,90984, Operadora  Avicola ,Borinquen, Antioquia  Sur 
1.66,1.62,0.06,1165,2405.91,60.15,0,1,0,3544.13,99.84,4657.08,40,144.94,37.69,,338.84,87.32,,17952, Operadora  Avicola , Primavera  OPAV ,Pereira
1.64,1.62,0.03,1042,2294.35,56.79,0,1,0,3562.83,93.31,4416.45,40.4,139.64,39.3,,334.6,84.98,,32640, Operadora  Avicola , Av.  Roberto , Antioquia  Norte 
1.89,1.9,0.17,38038,2155.32,45.96,0,1,0,4195.05,86.99,4227.47,46.9,113.87,47.54,,201.07,60.16,,221340, Operadora  Avicola , Roble  2 ,Bucaramanga
1.69,1.64,0.04,4479,2425.41,59.59,0,1,0,3597.02,100.65,4267,40.7,143.61,38.14,,338.41,85.03,,109548, Operadora  Avicola ,Pomona,Pereira
1.6,1.6,0.04,3319,2213.86,54.13,0,1,0,3520.25,86.8,4001.46,40.9,138.05,40.74,,323.8,86.08,,81600, Operadora  Avicola ,Argentina, Antioquia  Norte 
1.65,1.62,0.02,513,2334.7,55.59,0,1,0,3564.39,91.91,4057.65,42,141.21,40.38,,328.53,85.41,,22440, Operadora  Avicola ,Ernely, Antioquia  Norte 
1.74,1.72,0.04,3524,2266.03,52.33,0,1,0,3786.13,90.99,4593.5,43.3,130.32,42.47,,288.75,74.95,,86700, Operadora  Avicola , Bellavista  Bmanga ,Bucaramanga
1.81,1.84,0.16,24662,2095.33,51.11,0,1,0,4052.82,92.48,4176.5,41,115.79,42.33,,236.9,63.99,,153000, Operadora  Avicola ,Aldea, Antioquia  Norte 
1.79,1.76,0.15,29689,2354.99,58.15,0,1,0,3852.6,104.21,4519.22,40.5,131.41,38.71,,276.06,73.33,,199002, Operadora  Avicola ,Membrillal,Pereira
1.63,1.62,0.04,4224,2237.41,55.11,0,1,0,3570.18,89.96,3999.15,40.6,137.06,40.16,,324.28,83.96,,107202, Operadora  Avicola ,Montecristo, Antioquia  Norte 
1.64,1.62,0.03,4640,2293.41,52.84,0,1,0,3552.16,86.56,4076.39,43.4,140.02,42.23,,313.09,85.48,,157080, Operadora  Avicola , Tesoro  1 ,Bucaramanga
1.77,1.77,0.09,7683,2175.9,55.09,0,1,0,3905,97.39,4405.7,39.5,123.07,39.79,,284.87,69.61,,89658, Operadora  Avicola , San  Miguel  OPAV ,Pereira
1.75,1.74,0.14,3368,2252.18,51.07,0,1,0,3812.69,89.23,4174.94,44.1,128.9,43.43,,252.07,73.77,,24480, Operadora  Avicola , Paraiso  Bmanga ,Bucaramanga
1.68,1.65,0.16,17321,2351.83,56.53,0,1,0,3621.33,95.19,4230.58,41.6,139.68,39.8,,281.46,82.95,,107100, Operadora  Avicola , La  Luz , Antioquia  Sur 
1.65,1.64,0.05,3964,2245.27,55.44,0,1,0,3596.47,91.28,4001.73,40.5,136.37,39.96,,320.36,82.83,,81600, Operadora  Avicola ,Arenales, Antioquia  Norte 
1.72,1.7,0.03,1921,2257.75,56.87,0,1,0,3743.33,97.64,4453.39,39.7,131.5,39.03,,320.95,76.59,,61914, Operadora  Avicola ,Algeciras,Pereira
1.6,1.57,0.06,2542,2338.26,58.31,0,1,0,3450.55,93.38,4148.74,40.1,146.02,38.51,,341.1,91.18,,40188, Operadora  Avicola ,Montañita, Antioquia  Sur 
1.65,1.63,0.05,2318,2301.65,55.73,0,1,0,3582.85,92.18,4326.61,41.3,139.15,40.09,,319.52,84.12,,44880, Operadora  Avicola , La  Clara , Antioquia  Norte 
1.79,1.8,0.12,27564,2156.67,47.93,0,1,0,3966.5,85.79,4534.37,45,120.48,45.6,,234.54,67.3,,222360, Operadora  Avicola , Roble  1 ,Bucaramanga
1.74,1.74,0.07,7833,2212.44,55.17,0,1,0,3825.8,96.14,4311.01,40.1,126.97,39.96,,294.25,72.87,,110772, Operadora  Avicola , La  Sierra ,Pereira
1.67,1.64,0.06,3339,2315.34,54.87,0,1,0,3609.05,91.6,4300.44,42.2,138.69,40.8,,308.72,83.07,,55080, Operadora  Avicola , Villa  Gloria ,Bucaramanga
1.72,1.68,0.15,6243,2375.47,56.97,0,1,0,3686.47,97.96,4589.99,41.7,138.14,39.63,,280.58,80.33,,40800, Operadora  Avicola ,Refugio, Antioquia  Sur 
1.69,1.7,0.24,19565,2171.52,56.26,0,1,0,3732.64,95,4352.31,38.6,128.59,38.94,,253.45,76.14,,81804, Operadora  Avicola , El  Rocio ,Pereira
1.74,1.73,0.1,3967,2263.19,53.13,0,1,0,3798.64,92.64,4284.13,42.6,129.79,41.82,,275.04,74.43,,40800, Operadora  Avicola , Villa  Betty ,Bucaramanga
1.64,1.61,0.09,12302,2345.98,56.94,0,1,0,3529.77,93.38,4441.9,41.2,143.06,39.48,,315.02,87.24,,132600, Operadora  Avicola , Santa  Paula , Antioquia  Sur 
1.7,1.65,0.05,905,2423.61,55.72,0,1,0,3613.16,94.5,4547.88,43.5,142.89,40.78,,311.34,84.25,,17340, Operadora  Avicola ,Fronteras,Bucaramanga
1.72,1.68,0.05,3184,2383.84,58,0,1,0,3688.76,99.91,4090.15,41.1,138.39,38.96,,320.51,80.34,,66198, Operadora  Avicola , Vista  Alegre ,Pereira
1.61,1.57,0.06,1503,2347.27,57.96,0,1,0,3455.76,93.07,4449.78,40.5,146.18,38.8,,337.81,91.03,,23460, Operadora  Avicola , San  José  Ant , Antioquia  Sur 
1.66,1.64,0.06,10765,2286.62,58.04,0,1,0,3609.35,96.49,4414.72,39.4,137.53,38.41,,329.67,82.71,,193800, Operadora  Avicola , San  Andres , Antioquia  Sur 
1.74,1.71,0.04,6355,2316.25,51.59,0,1,0,3756.95,89.66,4233.65,44.9,133.26,43.4,,286.23,76.67,,178500, Operadora  Avicola , Granada  OPAV ,Bucaramanga
1.79,1.78,0.07,19346,2211.03,54.19,0,1,0,3922.4,96.79,4386.39,40.8,123.79,40.67,,281.14,69.31,,263568, Operadora  Avicola ,Carmelita,Pereira
1.71,1.68,0.04,1553,2339.35,56.78,0,1,0,3693.59,97.34,4328.87,41.2,136.45,39.56,,317.19,79.59,,36720, Operadora  Avicola ,Luciernaga,Bucaramanga
1.68,1.67,0.1,3423,2259.42,56.91,0,1,0,3668.52,95.79,4430.21,39.7,134.24,39.01,,303.97,79.76,,33864, Operadora  Avicola , Santa  Inés ,Pereira
1.7,1.67,0.05,2601,2314.74,54.72,0,1,0,3677.25,93.08,4381.78,42.3,136.09,40.9,,304.64,80.01,,48960, Operadora  Avicola ,Gaviotas,Bucaramanga
1.8,1.78,0.06,9003,2243.99,50.2,0,1,0,3921.74,90.11,4500.06,44.7,125.01,44.13,,262.99,69.64,,150960, Operadora  Avicola , San  Joaquin ,Bucaramanga
1.67,1.65,0.06,8319,2287.89,55.4,0,1,0,3621.77,92.44,4226.22,41.3,137.11,40.25,,311.15,82.16,,132600, Operadora  Avicola , Comba  1 , Antioquia  Sur 
1.75,1.7,0.1,3872,2445.02,57.26,0,1,0,3721.43,100.3,4392.44,42.7,139.58,39.79,,294.85,79.68,,39520, Operadora  Avicola ,Socorro, Antioquia  Sur 
1.65,1.62,0.06,5232,2365.29,57.55,0,1,0,3545.33,95.04,4138.83,41.1,143.22,39.17,,326.68,86.72,,83640, Operadora  Avicola , Los  Andes , Antioquia  Sur 
1.72,1.69,0.04,1646,2310.09,54.23,0,1,0,3714.73,93.11,4232.12,42.6,134.54,41.25,,303.68,78.35,,42840, Operadora  Avicola , Mirador  Bga ,Bucaramanga
1.71,1.67,0.05,9151,2368.44,58.05,0,1,0,3665.56,99.16,4336.06,40.8,138.65,38.85,,321.45,81.17,,169218, Operadora  Avicola , La  Caracola ,Pereira
1.72,1.66,0.08,3503,2505.33,58.81,0,1,0,3635.05,101.38,4733.29,42.6,145.34,39.04,,313.28,84.32,,42840, Operadora  Avicola ,Nirvana, Antioquia  Sur 
1.77,1.72,0.16,7134,2415.13,59.05,0,1,0,3775.35,104.54,4532.39,40.9,136.42,38.43,,280.05,77.06,,44472, Operadora  Avicola ,Carmela,Pereira
1.73,1.7,0.14,9582,2324.14,55.34,0,1,0,3738.8,95.82,4366.71,42,134.21,40.5,,274.75,77.51,,68340, Operadora  Avicola ,Paulandia, Antioquia  Sur 
1.65,1.6,0.03,902,2445.78,58.65,0,1,0,3502.88,96.72,4537.42,41.7,148.32,38.85,,343.58,89.94,,26520, Operadora  Avicola , Guayacanes  OPAV , Antioquia  Sur 
1.64,1.59,0.03,4793,2418.69,57.59,0,1,0,3492.97,94.37,4267.49,42,147.6,39.43,,342.05,90.07,,179622, Operadora  Avicola , Vista  Hermosa , Antioquia  Sur 
1.68,1.68,0.07,14282,2213.19,55.47,0,1,0,3684.13,93.08,4347.96,39.9,131.88,39.75,,307.01,78.59,,200634, Operadora  Avicola , Cabañas  Per ,Pereira
1.67,1.69,0.05,2641,2146.52,54.62,0,1,0,3713.31,91.37,4394.87,39.3,128.31,39.94,,309.91,76.7,,52020, Operadora  Avicola , La  Matica , Antioquia  Sur 
1.8,1.79,0.05,5618,2225.02,51.39,0,1,0,3939.23,92.38,4512.06,43.3,123.77,42.98,,271.53,68.85,,112200, Operadora  Avicola ,Montiengo,Bucaramanga
1.64,1.63,0.04,1328,2218.47,54.78,0,1,0,3594,89.75,4056.6,40.5,135.4,40.28,,319.81,82.64,,30600, Operadora  Avicola ,Bonita, Antioquia  Norte 
1.61,1.61,0.06,3487,2222.67,55.85,0,1,0,3536.73,90.1,4536.6,39.8,137.76,39.54,,323.81,85.38,,54060, Operadora  Avicola , La  Esperanza  Ant , Antioquia  Norte 
1.76,1.76,0.07,17236,2212.06,49.38,0,1,0,3860.51,86.81,4659.06,44.8,125.82,44.64,,260.65,71.56,,239700, Operadora  Avicola , Roble  3 ,Bucaramanga
1.78,1.76,0.23,24090,2319.1,57.4,0,1,0,3854.04,102.39,4247.96,40.4,130.01,39.02,,246.86,72.89,,103428, Operadora  Avicola , San  Diego ,Pereira
1.77,1.73,0.07,8893,2395.1,57.71,0,1,0,3787.7,102.24,4285.87,41.5,135.21,39.22,,303.54,76.32,,130152, Operadora  Avicola , La  Candelosa ,Pereira
1.69,1.66,0.06,8627,2356.49,55.71,0,1,0,3636.78,94.26,4556,42.3,139.27,40.42,,310.43,82.31,,150960, Operadora  Avicola , Balcones  Bmanga ,Bucaramanga
1.64,1.62,0.03,4106,2294.58,56.8,0,1,0,3563.39,93.34,4257.8,40.4,139.62,39.29,,334.01,84.96,,122400, Operadora  Avicola ,Tortugas, Antioquia  Sur 
1.83,1.85,0.13,2085,2140.08,51.69,0,1,0,4073.04,94.75,4186.44,41.4,116.75,42.16,,245.98,63.7,,16320, Operadora  Avicola , Vivi  Tatiana ,Bucaramanga
1.75,1.68,0.06,6739,2503.95,56.65,0,1,0,3681.94,98.9,4491.05,44.2,143.43,40.53,,303.49,82.16,,104040, Operadora  Avicola , El  Progreso ,Bucaramanga
1.63,1.61,0.03,6598,2279.91,56.43,0,1,0,3541.01,91.96,4172.63,40.4,139.91,39.46,,335.11,85.86,,204000, Operadora  Avicola ,Coqueta, Antioquia  Norte 
1.68,1.66,0.04,2134,2296.08,54.41,0,1,0,3650.98,91.64,4592.3,42.2,136.33,41.03,,311.41,80.95,,59160, Operadora  Avicola , El  Palmar ,Bucaramanga
1.6,1.61,0.03,1207,2146.04,54.06,0,1,0,3542.59,86.27,4191.39,39.7,134.47,40.36,,328.7,84.26,,40800, Operadora  Avicola ,Lucha, Antioquia  Norte 
1.74,1.72,0.08,27600,2290.91,56.99,0,1,0,3779.36,99.28,4550.62,40.2,131.5,39.14,,300.38,75.49,,337620, Operadora  Avicola ,Gramal,Pereira
1.69,1.67,0.06,2115,2269.85,54.17,0,1,0,3672.3,91.41,4499.55,41.9,134.51,41.05,,302.01,79.71,,35700, Operadora  Avicola , Porvenir  Bmanga ,Bucaramanga
1.6,1.59,0.04,1565,2255.51,56.25,0,1,0,3484.79,89.87,4131.02,40.1,141.16,39.45,,338.52,88.35,,40800, Operadora  Avicola ,Maquina, Antioquia  Norte 
1.66,1.62,0.04,971,2375.6,56.7,0,1,0,3562.19,94.21,3841.28,41.9,142.97,39.82,,327.67,86.04,,24480, Operadora  Avicola , Violeta  OPAV , Antioquia  Norte 
1.66,1.64,0.08,11167,2314.58,55.64,0,1,0,3595.6,92.53,4436.09,41.6,139.17,40.23,,307.82,83.69,,139740, Operadora  Avicola , La  Mariana ,Bucaramanga
1.69,1.63,0.05,3313,2468.75,60.66,0,1,0,3572.6,102.31,4165.25,40.7,146.37,37.68,,342.8,86.78,,70788, Operadora  Avicola , La  Estancia ,Pereira
1.65,1.61,0.07,5880,2388.02,57.82,0,1,0,3526.65,95.28,4244.01,41.3,144.92,39.11,,325.61,87.95,,81600, Operadora  Avicola ,Riochico, Antioquia  Norte 
1.64,1.62,0.04,3668,2254.07,55.66,0,1,0,3567.11,91.01,4147.27,40.5,137.85,39.86,,328.12,84.3,,102000, Operadora  Avicola , Comba  2 , Antioquia  Sur 
1.69,1.64,0.03,1477,2438.87,57.93,0,1,0,3598.05,98.04,4609.29,42.1,144.11,39.3,,330.51,85.16,,42840, Operadora  Avicola ,Salsipuedes, Antioquia  Sur 
1.7,1.69,0.07,16013,2218.14,55.73,0,1,0,3725.51,94.65,4355.86,39.8,130.61,39.59,,305.79,76.9,,234906, Operadora  Avicola , Villa  Alicia ,Pereira
1.67,1.6,0.03,485,2521.01,58.63,0,1,0,3518.17,97.99,4558.96,43,150.83,39.24,,341.5,90.24,,18360, Operadora  Avicola , Villa  Luz  Ant , Antioquia  Sur 
1.65,1.62,0.03,556,2307.8,55.61,0,1,0,3566.85,91.65,4500.55,41.5,140.02,40.21,,327.18,84.96,,18360, Operadora  Avicola , San  Pablo ,Bucaramanga
1.76,1.8,0.08,10678,2059.92,47.35,0,1,0,3975.7,83.51,4591.21,43.5,116.81,45.41,,246.73,66.24,,131580, Operadora  Avicola ,Terranova,Bucaramanga
1.65,1.59,0.07,4131,2457.62,57.56,0,1,0,3489.54,94.69,4085.24,42.7,149.38,39.65,,324.09,90.8,,56100, Operadora  Avicola ,Rescate, Antioquia  Norte 
1.64,1.58,0.1,8906,2483.09,58.84,0,1,0,3462.6,96.36,4220.79,42.2,151.63,38.91,,322.83,92.59,,87720, Operadora  Avicola , Porvenir  Ant , Antioquia  Sur 
1.72,1.68,0.06,6456,2374.13,58.48,0,1,0,3696.2,100.8,4564.49,40.6,137.72,38.6,,319.33,79.9,,110058, Operadora  Avicola , Santa  Lucía ,Pereira
1.71,1.66,0.12,10714,2449.93,60.64,0,1,0,3639.38,103.95,4217.63,40.4,142.92,37.6,,312.67,83.38,,92208, Operadora  Avicola ,Potrerillo,Pereira
1.59,1.54,0.05,2632,2446.4,61.47,0,1,0,3377.75,97.75,4114.95,39.8,153.84,37.08,,368.06,96.74,,55080, Operadora  Avicola ,Pinos, Antioquia  Sur 
1.8,1.84,0.06,6603,2027.63,48.86,0,1,0,4079.11,87.86,4636.26,41.5,112.76,43.76,,255.04,62.71,,107610, Operadora  Avicola ,Torcoroma,Bucaramanga
1.63,1.59,0.04,2101,2395.26,58,0,1,0,3494.31,94.78,4162.45,41.3,146.56,39.03,,342.21,89.68,,58854, Operadora  Avicola ,Quintana, Antioquia  Norte 
1.71,1.7,0.04,904,2253.73,53.15,0,1,0,3724.73,90.75,4572.1,42.4,132,41.74,,299.82,77.31,,24480, Operadora  Avicola , Villa  Florida ,Bucaramanga
1.78,1.79,0.03,533,2151.08,50.73,0,1,0,3937.98,90.08,3626.44,42.4,121.15,43.03,,275.78,68.23,,15300, Operadora  Avicola , Esperanza  Bga ,Bucaramanga
1.75,1.77,0.04,1044,2108.36,51.42,0,1,0,3908.88,89.96,3858.12,41,120.52,42.16,,281.92,68.9,,25500, Operadora  Avicola ,Raviel,Bucaramanga
1.7,1.67,0.06,913,2337.57,55,0,1,0,3664.35,93.53,4619.55,42.5,137.47,40.83,,305.37,80.85,,16320, Operadora  Avicola ,Despensa,Bucaramanga
1.64,1.57,0.07,6500,2514.8,57.68,0,1,0,3446.33,94.37,4281.62,43.6,153.71,39.86,,328.12,93.95,,93840, Operadora  Avicola ,Fogon, Antioquia  Sur 
1.75,1.74,0.04,4456,2263.53,48.16,0,1,0,3821.12,84.48,4278.9,47,129.04,46.13,,263.93,73.56,,115260, Operadora  Avicola , La  Herradura ,Bucaramanga
1.73,1.66,0.06,8908,2494.72,60.11,0,1,0,3651.64,103.96,4544.07,41.5,144.25,38.15,,328.2,83.41,,159630, Operadora  Avicola ,Panorama,Pereira
1.77,1.79,0.1,19690,2133.75,50.32,0,1,0,3946.95,89.29,4316.76,42.4,120.26,43.26,,256.47,67.78,,205632, Operadora  Avicola , Roble  2 ,Bucaramanga
1.76,1.72,0.12,12714,2384.35,58.01,0,1,0,3768.97,102.11,4369.11,41.1,135.46,38.96,,291.34,76.96,,109548, Operadora  Avicola ,Pomona,Pereira
1.58,1.56,0.05,2760,2277.91,57.09,0,1,0,3424.34,89.94,4430.49,39.9,144.59,39,,346.04,91.78,,61200, Operadora  Avicola ,Olivares, Antioquia  Norte 
1.63,1.61,0.03,1764,2292.27,56.32,0,1,0,3536.94,91.84,4379.84,40.7,140.57,39.61,,333.44,86.21,,51000, Operadora  Avicola ,Suiza, Antioquia  Sur 
1.63,1.59,0.07,6041,2393.76,57.82,0,1,0,3484.11,94.2,4325.47,41.4,146.93,39.14,,331.65,90.19,,92208, Operadora  Avicola ,Borinquen, Antioquia  Sur 
1.74,1.68,0.1,1802,2444.03,60.5,0,1,0,3687.8,105,4762.08,40.4,140.81,37.66,,312.11,81.13,,17238, Operadora  Avicola , Primavera  OPAV ,Pereira
1.66,1.63,0.05,1746,2314.55,57.15,0,1,0,3589.17,94.87,4324.78,40.5,139.42,39.16,,327.32,83.98,,35496, Operadora  Avicola , Villa  Gilma ,Pereira
1.84,1.89,0.06,5292,2004.26,47.61,0,1,0,4189.07,87.51,4681.01,42.1,109.04,44.72,,242.61,59.32,,83640, Operadora  Avicola , Bellavista  Bmanga ,Bucaramanga
1.66,1.61,0.16,2506,2431.92,59.9,0,1,0,3542.75,99.72,4670.62,40.6,146.07,37.97,,300.86,87.74,,15300, Operadora  Avicola , Villa  Rita , Antioquia  Sur 
1.59,1.54,0.04,2973,2413.08,58.57,0,1,0,3389.55,93.07,4094.52,41.2,151.86,38.74,,354.46,95.57,,77520, Operadora  Avicola ,Argentina, Antioquia  Norte 
1.69,1.7,0.07,9748,2181.65,52.32,0,1,0,3738.68,88.64,4165.04,41.7,128.76,41.94,,288.57,76,,148920, Operadora  Avicola , Tesoro  1 ,Bucaramanga
1.62,1.56,0.04,8322,2457.38,58.37,0,1,0,3428.69,94.35,4373.65,42.1,152.03,39.1,,345.86,94.05,,197166, Operadora  Avicola ,Manantiales, Antioquia  Sur 
1.57,1.56,0.03,651,2262.2,57.27,0,1,0,3417.67,89.84,4147.49,39.5,144.21,38.78,,354.51,91.94,,22440, Operadora  Avicola ,Ernely, Antioquia  Norte 
1.85,1.92,0.11,2438,1928.91,47.63,0,1,0,4282.67,88.09,4263.03,40.5,104.29,44.07,,229.53,56.39,,22440, Operadora  Avicola , Paraiso  Bmanga ,Bucaramanga
1.58,1.54,0.05,1313,2364.92,58.39,0,1,0,3390.37,92.22,4422.47,40.5,149.75,38.6,,352.76,94.83,,28560, Operadora  Avicola , Cascada  Ant , Antioquia  Norte 
1.6,1.59,0.07,2044,2235.9,56.04,0,1,0,3500.83,89.68,4608.88,39.9,139.71,39.48,,325.1,87.3,,28560, Operadora  Avicola ,Querencia, Antioquia  Norte 
1.83,1.83,0.19,35791,2210.74,58.02,0,1,0,4014.21,106.06,4625.28,38.1,120.95,37.98,,258.43,66.17,,192474, Operadora  Avicola ,Membrillal,Pereira
1.82,1.8,0.09,7949,2277.45,56.65,0,1,0,3950.53,102.96,4508.66,40.2,125.32,39.3,,283.65,68.95,,88230, Operadora  Avicola , San  Miguel  OPAV ,Pereira
1.62,1.6,0.03,898,2274.81,56.59,0,1,0,3515.2,91.47,4507.92,40.2,140.73,39.33,,340.44,87.06,,32640, Operadora  Avicola , Av.  Roberto , Antioquia  Norte 
1.75,1.7,0.07,4270,2414.39,60.06,0,1,0,3739.79,105.31,4558.7,40.2,137.69,37.78,,318.89,78.52,,61914, Operadora  Avicola ,Algeciras,Pereira
1.81,1.85,0.12,26511,2061.2,48.61,0,1,0,4088.53,88.18,4622.55,42.4,113.63,44.24,,235.13,62.64,,216240, Operadora  Avicola , Roble  1 ,Bucaramanga
