conversion,conversionAjustada2punto2Kg,mortalidadPor,noDePollosMuertos,pesoFinalPolloG,gananciaPesoDiaG,AD3Engrode,AD3Inicio,AD3Preinicio,consumoAjustadoA2punto2Kg,consumoDiaPolloG,consumoTotalPolloG,duracionEngordeDias,ea,edadAjustadaA2punto2Kg,edadEnDias,feep,ip,n,noPollitos,empresa,granja,municipio
1.7,1.67,0.05,4623,2299.94,55.82,0,1,0,3677.32,94.75,3903.66,41.2,135.51,40.01,41,328.9,79.84,240,89323, Operadora  Avicola ,Borinquen, Antioquia  Sur 
1.71,1.71,0.03,2554,2208.19,54.12,0,1,0,3752.84,92.45,3771.78,40.8,129.28,40.71,41,316.86,75.69,315,82686, Operadora  Avicola ,Tortugas, Antioquia  Sur 
1.61,1.58,0.01,329,2320.26,56.73,0,1,0,3472.23,91.18,3729.4,40.9,144.36,39.49,41,352.95,89.81,316,24172, Operadora  Avicola , Guayacanes  OPAV , Antioquia  Sur 
1.74,1.67,0.02,998,2499.46,56.17,0,1,0,3668.08,97.63,4344.58,44.5,143.8,40.85,45,323.14,82.73,340,40072, Operadora  Avicola , Villa  Betty ,Bucaramanga
1.81,1.82,0.03,1980,2165,52.68,0,1,0,4010.82,95.48,3924.35,41.1,119.44,41.54,41,290.61,65.89,359,72993, Operadora  Avicola ,Tejar,Pereira
1.7,1.67,0.03,2397,2328.75,55.98,0,1,0,3674.25,95.33,3965.6,41.6,136.75,40.06,42,328.73,80.31,368,77745, Operadora  Avicola , La  Estancia ,Pereira
1.76,1.77,0.03,2643,2179.77,53.95,0,1,0,3891.53,95.12,3843.03,40.4,123.64,40.65,40,306.03,70.13,386,103022, Operadora  Avicola ,Potrerillo,Pereira
1.73,1.71,0.03,3860,2283.16,55.42,0,1,0,3763.24,96.02,3955.98,41.2,131.77,40.21,41,319.83,76.05,151,119250, Operadora  Avicola , La  Sierra ,Pereira
1.67,1.64,0.02,948,2315.84,56.07,0,1,0,3606.85,93.56,3864.17,41.3,138.79,39.92,41,336.06,83.18,144,40439, Operadora  Avicola ,Lucha, Antioquia  Norte 
1.73,1.7,0.07,5450,2330.12,56.01,0,1,0,3738.91,97.08,4038.53,41.6,134.44,40.05,42,323.18,77.57,168,76763, Operadora  Avicola , Porvenir  Ant , Antioquia  Sur 
1.67,1.65,0.02,1337,2306.65,55.45,0,1,0,3614.71,92.6,3852.13,41.6,138.12,40.32,42,332.02,82.71,180,82788, Operadora  Avicola ,Arenales, Antioquia  Norte 
1.68,1.65,0.02,1841,2343.69,57.73,0,1,0,3621.37,97.09,3941.83,40.6,139.35,38.93,41,343.22,82.85,203,80718, Operadora  Avicola , La  Estancia ,Pereira
1.6,1.58,0.03,648,2319.61,57.27,0,1,0,3462.34,91.79,3717.39,40.5,144.74,39.11,41,357.39,90.32,215,23535, Operadora  Avicola , Guayacanes  OPAV , Antioquia  Sur 
1.64,1.61,0.02,2119,2328.3,56.79,0,1,0,3538.99,93.14,3818.61,41,141.96,39.49,41,346.25,86.56,225,139153, Operadora  Avicola ,Coqueta, Antioquia  Norte 
1.65,1.59,0.02,596,2491.37,58.62,0,1,0,3493.16,96.94,4120,42.5,150.65,39.1,43,354.48,91.1,231,28363, Operadora  Avicola ,Bonita, Antioquia  Norte 
2.01,2.01,0.13,29175,2194.54,48.23,0,1,0,4427.61,96.98,4412.71,45.5,109.14,45.58,46,239.87,54.28,255,232941, Operadora  Avicola , Primavera  Bga ,Bucaramanga
1.74,1.72,0.02,4293,2273.12,52.14,0,1,0,3784.26,90.7,3954.67,43.6,130.66,42.67,44,299.67,75.1,259,186245, Operadora  Avicola , Granada  OPAV ,Bucaramanga
1.79,1.76,0.03,5481,2337.43,55,0,1,0,3866.15,98.67,4193.39,42.5,130.29,40.83,43,306.57,72.63,261,188989, Operadora  Avicola , La  Caracola ,Pereira
1.8,1.76,0.03,999,2380.2,55.61,0,1,0,3853.99,100.04,4281.69,42.8,132.32,40.62,43,309.15,73.55,265,36854, Operadora  Avicola , Santa  Inés ,Pereira
1.77,1.73,0.03,2705,2364,55.89,0,1,0,3799.82,98.9,4183.6,42.3,133.58,40.33,42,315.79,75.48,285,105038, Operadora  Avicola , Santa  Lucía  Per. ,Pereira
1.7,1.65,0.05,7263,2424.5,57.86,0,1,0,3629.14,98.59,4130.9,41.9,142.3,39.27,42,339.61,83.52,293,142294, Operadora  Avicola , Balcones  OPAV ,Bucaramanga
1.84,1.83,0.03,560,2261.21,53.08,0,1,0,4019.49,97.91,4171,42.6,122.59,41.84,43,287.76,66.46,295,16911, Operadora  Avicola , Primavera  OPAV ,Pereira
1.69,1.7,0.03,2357,2184.13,51.51,0,1,0,3733.23,87.19,3696.73,42.4,129.04,42.61,42,304.35,76.24,305,79885, Operadora  Avicola , Los  Andes , Antioquia  Sur 
